Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
BMW,15/02/2021,Karatay/Karatay,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Otomatik Vites,216000,1 Serisi,2009,118500,BURAK GALERİ DEN BAKIMLI 2009 LPG Lİ BMW 1.16i OTOMATIK SUNROOF BMW 1 Serisi 116i Standart,116i Standart
BMW,15/02/2021,Karatay/Karatay,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,158000,1 Serisi,2008,142000,BURAK GALERi DEGİSENSİZ ORJ BAKIMLI 2008 BMW 1.16i PREMUM OTOMTK BMW 1 Serisi 116i Premium,116i Premium
BMW,15/02/2021,Ataşehir/İçerenköy,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,0,3 Serisi,2020,728750,ist.ELİT MOTOR dan 2020 M SPORT SUNROOF K.ISITMA HİFİ  18 FATURA BMW 3 Serisi 320i First Edition M Sport,Diğer
BMW,15/02/2021,Ataşehir/İçerenköy,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,0,3 Serisi,2020,728750,ist.ELİT MOTOR dan M SPORT SUNROOF.K.ISITMA.HİFİ  18 FATURA BMW 3 Serisi 320i First Edition M Sport,Diğer
Chevrolet,04/02/2021,Merkez/Merkez,1301-1600 cc,76-100 BG,Sahibinden,Benzin/LPG,Düz Vites,150000,Kalos,2004,54000,TEMIZ AILE ARABASI,1.4 8V SE
Dacia,10/02/2021,Etimesgut/Eryaman,1301-1600 cc,101-125 BG,Sahibinden,Benzin/LPG,Düz Vites,2600,Duster,2020,198000,DACIA DUSTER 2020 PRESTIGE FULL PAKET  2021 OCAK TESCILLI,1.6 Sce Prestige
Fiat,15/02/2021,Maltepe/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,110000,Linea,2014,87900,110.000  KM DE 2014 MODEL SADECE 1 PARÇA BOYALI DİZEL LİNEA Fiat Linea 1.3 Multijet Active Plus,Diğer
BMW,15/02/2021,İlkadım/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,69000,5 Serisi,2018,599000,ÇALIŞKAN OTO SAMSUN NBTNEXT100 HAYALET BMW 5.20 EXECUTİVE LUXRY BMW 5 Serisi 520i Executive Luxury Line,520i Executive Luxury Line
BMW,15/02/2021,İlkadım/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,161000,X5,2015,699000,ÇALIŞKAN OTO SAMSUN HATASIZ 2015 HAYALT VAKM E.BGJ NBT MDİREKS BMW X5 25d xDrive Premium,25d xDrive Premium
BMW,15/02/2021,İlkadım/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,215000,5 Serisi,2013,398000,ÇALIŞKAN OTO SAMSUN HATASIZ 2013 HAYALET VAKUM E.DRKSYON PREM BMW 5 Serisi 525d xDrive  Premium,525d xDrive  Premium
BMW,15/02/2021,Kartal/Kartal,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,134000,1 Serisi,2008,150000,2008 BMW 1.16İ 134.000 KM DE NAVİGASYON GERİ GÖRÜŞ MULTİMEDYA BMW 1 Serisi 116i Standart,116i Standart
BMW,15/02/2021,Kartal/Kartal,2501-3000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,292000,X5,2006,235000,2006 MODEL BMW X5 3.0 OTOMATİK DİZEL KAR CANAVARI 292.000 KM DE BMW X5 30d,30d
BMW,15/02/2021,Kayapınar/Kayapınar,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,37400,3 Serisi,2018,475000,ÖZDAŞ OTOMOTİV  2018 PREMİUM LİNE HAFIZA ISITMA HİFİ 37.000 km BMW 3 Serisi 320d Premium Line,320d Premium Line
Chevrolet,24/01/2021,Büyükçekmece/Büyükçekmece,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,166000,Captiva,2011,152000,TAMAMINA KREDİ 2011 CAPTİVA 2.0 LT HİGH 7 KİŞİLİK BOYASIZ 34 CFR Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Chevrolet,24/01/2021,İzmit/Merez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,219098,Captiva,2008,151500,ÇEKİCİ İLE GÖNDERELİM   KREDİLİ VEYA SENETLİ SATIŞ İMKANI Chevrolet Captiva 2.0 D LT High Sport,2.0 D LT High Sport
Fiat,15/02/2021,Bağlar/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,174000,Punto,2004,49500,174 BİN ORJİNAL KM.FİAT PUNTO Fiat Punto 1.4 Dynamic,1.4 Dynamic
BMW,15/02/2021,Bağcılar/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,110000,4 Serisi,2015,359750,HATASIZ 2015 BMW 418İ GRAN COUPE PRESTİGE BMW 4 Serisi 418i Gran Coupe Prestige,418i Gran Coupe Prestige
BMW,15/02/2021,Osmangazi/Kükürtlü,2001-2500 cc,Bilmiyorum,Galeriden,Benzin/LPG,Otomatik Vites,308000,5 Serisi,2005,143750,RS AuTo DaN 2005 MODEL BMW 5.20i M SPORT BMW 5 Serisi 520i Standart,520i Standart
BMW,15/02/2021,Adıyaman/Yenisanayi,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,1300,X1,2020,523000,ŞAHİN AUTODAN 2020 BMW X1 16d SDRİVE XLİNE 1300 KM BOYASIZ BMW X1 16d sDrive X Line,16d sDrive X Line
BMW,15/02/2021,Adıyaman/Yenisanayi,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,160200,3 Serisi,2014,310000,ŞAHİN AUTODAN 2014 BMW 3.20 İ ED TECHNO PLUS BOYASIZ BMW 3 Serisi 320i ED Techno Plus,320i ED Techno Plus
BMW,15/02/2021,Yakutiye/Yakutiye,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,112000,1 Serisi,2014,212500,PEHLİVAN OTOMOTİVDEN-2014 112.000 KM BMW 1.18İ 170 HP BMW 1 Serisi 118i M Plus,118i M Plus
BMW,15/02/2021,İzmit/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,109000,1 Serisi,2012,205900,FUAR OTO DAN 2012 BMW 116İ URBAN LİNE 109000 KM ORJINAL BMW 1 Serisi 116i Urban Line,116i Urban Line
Chevrolet,24/01/2021,Akyurt/Akyurt,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,185000,Captiva,2011,149900,2011 CAPTİVA 2.0 D HİGH 7 KİŞİLİK İÇ BEJ SUNROOF 185.000 KM Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Chevrolet,24/01/2021,Sultanbeyli/TurgutReis,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,264000,Captiva,2011,149500,39 BİN PEŞİN KALANI SENET VE TAKSİT SECENEKLERİ İLE CAPTİVA 2 0 Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Fiat,15/02/2021,Sultanbeyli/Turgutreis,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,107000,Linea,2013,87000,30 peşin 48ay VADE SENET KREDİ Fiat Linea 107000 km    Fiat Linea 1.3 Multijet Active Plus,Diğer
BMW,15/02/2021,İzmit,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,260000,5 Serisi,2011,287750,TRUVADAN 2011 BMW 5.20 D PREMİUM BMW 5 Serisi 520d Premium,520d Premium
BMW,15/02/2021,İzmit,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,127250,3 Serisi,2016,379950,TRUVADAN 2016 BMW 320 LUXURY LİNE PLUS HARMAN KARDON  HATASIZ   BMW 3 Serisi 320i ED Luxury Line Plus,320i ED Luxury Line Plus
BMW,15/02/2021,Merkez/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,97000,5 Serisi,2017,849900,BOYASZ 18 çkş 520D EXECUTİVE M SPORT ADAPTİVE LED 19 JANT HARMAN BMW 5 Serisi 520d Executive M Sport,520d Executive M Sport
BMW,15/02/2021,Nurdağı/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,162000,3 Serisi,2013,343000,ESEN AUTO DAN BMW 320D SPORT LİNE HATASIZ FUL PAKET DIŞ M SPORT BMW 3 Serisi 320d Sport Line,320d Sport Line
BMW,15/02/2021,Bağcılar/Bağcılar,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,158000,3 Serisi,2017,385000,ÖZ KARDEŞLER  DEN 2017 318D SUNROOF HAFIZA RECARO BOYASIZ BMW 3 Serisi 318d Sport Plus,318d Sport Plus
BMW,15/02/2021,Bağcılar/Bağcılar,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,284000,5 Serisi,2013,376000,ÖZ KARDEŞLER  DEN 2013 525XDRİ VAKUM NAVİGASYON GEN EKR RECARO BMW 5 Serisi 525d xDrive  M Sport,525d xDrive  M Sport
